country,hours_bucket,installs,country_total_installs,share_within_country
cl,0,1038,1220,85.08%
cm,1,2,15,13.33%
cm,5,1,15,6.67%
cm,16,1,15,6.67%
cm,0,11,15,73.33%
cn,1,7,71,9.86%
cn,2,6,71,8.45%
cn,3,2,71,2.82%
cn,5,1,71,1.41%
cn,9,1,71,1.41%
cn,17,2,71,2.82%
cn,20,1,71,1.41%
cn,27,1,71,1.41%
cn,42,1,71,1.41%
cn,47,1,71,1.41%
cn,0,47,71,66.20%
co,1,108,1531,7.05%
co,2,38,1531,2.48%
co,3,27,1531,1.76%
co,4,13,1531,0.85%
co,5,7,1531,0.46%
co,6,6,1531,0.39%
co,7,6,1531,0.39%
co,8,8,1531,0.52%
co,9,5,1531,0.33%
co,10,1,1531,0.07%
co,11,4,1531,0.26%
co,12,5,1531,0.33%
co,13,5,1531,0.33%
co,14,5,1531,0.33%
co,15,1,1531,0.07%
co,16,6,1531,0.39%
co,17,3,1531,0.20%
co,18,1,1531,0.07%
co,19,2,1531,0.13%
co,20,3,1531,0.20%
co,21,1,1531,0.07%
co,22,3,1531,0.20%
co,23,2,1531,0.13%
co,24,1,1531,0.07%
co,28,1,1531,0.07%
co,29,2,1531,0.13%
co,30,2,1531,0.13%
co,31,1,1531,0.07%
co,34,2,1531,0.13%
co,35,1,1531,0.07%
co,36,2,1531,0.13%
co,44,1,1531,0.07%
co,46,1,1531,0.07%
co,47,1,1531,0.07%
co,0,1252,1531,81.78%
cr,1,30,423,7.09%
cr,2,12,423,2.84%
cr,3,8,423,1.89%
cr,4,6,423,1.42%
cr,5,1,423,0.24%
cr,6,1,423,0.24%
cr,8,1,423,0.24%
cr,9,1,423,0.24%
cr,10,3,423,0.71%
cr,11,4,423,0.95%
cr,15,1,423,0.24%
cr,18,1,423,0.24%
cr,19,2,423,0.47%
cr,20,1,423,0.24%
cr,32,1,423,0.24%
cr,33,1,423,0.24%
cr,38,1,423,0.24%
cr,39,1,423,0.24%
cr,46,1,423,0.24%
cr,0,343,423,81.09%
cv,1,1,12,8.33%
cv,4,1,12,8.33%
cv,14,1,12,8.33%
cv,18,1,12,8.33%
cv,0,8,12,66.67%
cw,1,1,15,6.67%
cw,7,1,15,6.67%
cw,37,1,15,6.67%
cw,0,12,15,80.00%
cy,1,17,184,9.24%
cy,2,9,184,4.89%
cy,3,2,184,1.09%
cy,4,1,184,0.54%
cy,7,1,184,0.54%
cy,8,1,184,0.54%
cy,9,1,184,0.54%
cy,12,2,184,1.09%
cy,18,1,184,0.54%
cy,24,1,184,0.54%
cy,31,1,184,0.54%
cy,35,2,184,1.09%
cy,42,1,184,0.54%
cy,0,144,184,78.26%
cz,1,28,544,5.15%
cz,2,12,544,2.21%
cz,3,7,544,1.29%
cz,4,8,544,1.47%
cz,5,4,544,0.74%
cz,6,6,544,1.10%
cz,7,4,544,0.74%
cz,10,2,544,0.37%
cz,11,1,544,0.18%
cz,13,4,544,0.74%
cz,14,1,544,0.18%
cz,17,1,544,0.18%
cz,19,1,544,0.18%
cz,21,1,544,0.18%
cz,22,1,544,0.18%
cz,24,1,544,0.18%
cz,26,2,544,0.37%
cz,31,1,544,0.18%
cz,35,1,544,0.18%
cz,36,1,544,0.18%
cz,0,456,544,83.82%
de,1,7,165,4.24%
de,2,7,165,4.24%
de,3,6,165,3.64%
de,5,4,165,2.42%
de,8,4,165,2.42%
de,9,1,165,0.61%
de,10,2,165,1.21%
de,11,1,165,0.61%
de,13,1,165,0.61%
de,15,1,165,0.61%
de,16,1,165,0.61%
de,18,1,165,0.61%
de,25,1,165,0.61%
de,27,1,165,0.61%
de,38,1,165,0.61%
de,41,1,165,0.61%
de,43,1,165,0.61%
de,45,1,165,0.61%
de,0,122,165,73.94%
dj,1,1,3,33.33%
dj,0,2,3,66.67%
dk,1,12,153,7.84%
dk,2,4,153,2.61%
dk,3,4,153,2.61%
dk,4,2,153,1.31%
dk,5,1,153,0.65%
dk,6,3,153,1.96%
dk,10,1,153,0.65%
dk,13,1,153,0.65%
dk,19,1,153,0.65%
dk,24,1,153,0.65%
dk,34,1,153,0.65%
dk,0,122,153,79.74%
dm,3,1,2,50.00%
dm,0,1,2,50.00%
do,1,31,417,7.43%
do,2,13,417,3.12%
do,3,5,417,1.20%
do,4,2,417,0.48%
do,5,6,417,1.44%
do,7,1,417,0.24%
do,8,1,417,0.24%
do,10,1,417,0.24%
do,12,1,417,0.24%
do,14,1,417,0.24%
do,18,1,417,0.24%
do,24,1,417,0.24%
do,25,1,417,0.24%
do,37,1,417,0.24%
do,38,1,417,0.24%
do,0,349,417,83.69%
dz,1,43,451,9.53%
dz,2,10,451,2.22%
dz,3,10,451,2.22%
dz,4,4,451,0.89%
dz,5,3,451,0.67%
dz,6,3,451,0.67%
dz,10,1,451,0.22%
dz,11,2,451,0.44%
dz,12,1,451,0.22%
dz,13,2,451,0.44%
dz,14,3,451,0.67%
dz,15,2,451,0.44%
dz,16,2,451,0.44%
dz,20,1,451,0.22%
dz,23,1,451,0.22%
dz,32,2,451,0.44%
dz,33,1,451,0.22%
dz,0,359,451,79.60%
ec,1,44,607,7.25%
ec,2,16,607,2.64%
ec,3,7,607,1.15%
ec,4,2,607,0.33%
ec,5,2,607,0.33%
ec,6,3,607,0.49%
ec,7,5,607,0.82%
ec,8,1,607,0.16%
ec,9,1,607,0.16%
ec,10,1,607,0.16%
ec,11,2,607,0.33%
ec,12,1,607,0.16%
ec,13,1,607,0.16%
ec,16,1,607,0.16%
ec,17,5,607,0.82%
ec,19,2,607,0.33%
ec,20,1,607,0.16%
ec,21,1,607,0.16%
ec,22,1,607,0.16%
ec,23,1,607,0.16%
ec,25,1,607,0.16%
ec,26,2,607,0.33%
ec,36,1,607,0.16%
ec,39,1,607,0.16%
ec,43,1,607,0.16%
ec,0,501,607,82.54%
ee,1,6,75,8.00%
ee,2,2,75,2.67%
ee,3,1,75,1.33%
ee,6,2,75,2.67%
ee,19,1,75,1.33%
ee,0,63,75,84.00%
eg,1,124,1473,8.42%
eg,2,57,1473,3.87%
eg,3,41,1473,2.78%
eg,4,23,1473,1.56%
eg,5,9,1473,0.61%
eg,6,16,1473,1.09%
eg,7,7,1473,0.48%
eg,8,7,1473,0.48%
eg,9,4,1473,0.27%
eg,10,6,1473,0.41%
eg,11,6,1473,0.41%
eg,12,4,1473,0.27%
eg,13,1,1473,0.07%
eg,14,1,1473,0.07%
eg,15,1,1473,0.07%
eg,16,1,1473,0.07%
eg,17,1,1473,0.07%
eg,18,1,1473,0.07%
eg,19,1,1473,0.07%
eg,20,1,1473,0.07%
eg,22,2,1473,0.14%
eg,23,2,1473,0.14%
eg,24,2,1473,0.14%
eg,25,3,1473,0.20%
eg,26,1,1473,0.07%
eg,27,1,1473,0.07%
eg,28,1,1473,0.07%
eg,29,1,1473,0.07%
eg,33,1,1473,0.07%
eg,34,1,1473,0.07%
eg,35,1,1473,0.07%
eg,36,1,1473,0.07%
eg,37,3,1473,0.20%
eg,38,1,1473,0.07%
eg,39,2,1473,0.14%
eg,42,1,1473,0.07%
eg,0,1137,1473,77.19%
es,1,64,1029,6.22%
es,2,40,1029,3.89%
es,3,18,1029,1.75%
es,4,9,1029,0.87%
es,5,7,1029,0.68%
es,6,9,1029,0.87%
es,7,8,1029,0.78%
es,8,10,1029,0.97%
es,9,1,1029,0.10%
es,10,4,1029,0.39%
es,11,2,1029,0.19%
es,12,5,1029,0.49%
es,13,3,1029,0.29%
es,14,5,1029,0.49%
es,15,1,1029,0.10%
es,17,2,1029,0.19%
es,20,1,1029,0.10%
es,21,1,1029,0.10%
es,22,2,1029,0.19%
es,24,1,1029,0.10%
es,25,1,1029,0.10%
es,26,1,1029,0.10%
es,31,1,1029,0.10%
es,33,1,1029,0.10%
es,35,1,1029,0.10%
es,40,1,1029,0.10%
es,44,1,1029,0.10%
es,0,824,1029,80.08%
et,0,1,1,100.00%
fi,1,8,86,9.30%
fi,2,2,86,2.33%
fi,3,4,86,4.65%
fi,4,2,86,2.33%
fi,7,1,86,1.16%
fi,11,1,86,1.16%
fi,13,1,86,1.16%
fi,14,1,86,1.16%
fi,19,2,86,2.33%
fi,27,1,86,1.16%
fi,0,62,86,72.09%
fj,0,28,32,87.50%
fj,1,3,32,9.38%
fj,7,1,32,3.13%
fm,1,1,1,100.00%
fo,0,2,2,100.00%
fr,1,67,981,6.83%
fr,2,28,981,2.85%
fr,3,25,981,2.55%
fr,4,9,981,0.92%
fr,5,10,981,1.02%
fr,6,10,981,1.02%
fr,7,5,981,0.51%
fr,8,7,981,0.71%
fr,9,3,981,0.31%
fr,10,4,981,0.41%
fr,11,6,981,0.61%
fr,12,3,981,0.31%
fr,13,3,981,0.31%
fr,14,4,981,0.41%
fr,15,5,981,0.51%
fr,16,1,981,0.10%
fr,17,5,981,0.51%
fr,18,7,981,0.71%
fr,19,2,981,0.20%
fr,20,4,981,0.41%
fr,21,3,981,0.31%
fr,22,9,981,0.92%
fr,23,1,981,0.10%
fr,24,5,981,0.51%
fr,25,3,981,0.31%
fr,26,2,981,0.20%
fr,28,3,981,0.31%
fr,29,2,981,0.20%
fr,30,1,981,0.10%
fr,32,2,981,0.20%
fr,33,1,981,0.10%
fr,34,2,981,0.20%
fr,35,4,981,0.41%
fr,36,3,981,0.31%
fr,37,3,981,0.31%
fr,38,2,981,0.20%
fr,39,2,981,0.20%
fr,40,1,981,0.10%
fr,42,1,981,0.10%
fr,43,1,981,0.10%
fr,44,5,981,0.51%
fr,46,5,981,0.51%
fr,47,1,981,0.10%
fr,0,697,981,71.05%
ga,1,3,11,27.27%
ga,36,1,11,9.09%
ga,0,7,11,63.64%
gb,1,146,1963,7.44%
gb,2,69,1963,3.52%
gb,3,30,1963,1.53%
gb,4,25,1963,1.27%
gb,5,21,1963,1.07%
gb,6,18,1963,0.92%
gb,7,8,1963,0.41%
gb,8,8,1963,0.41%
gb,9,3,1963,0.15%
gb,10,9,1963,0.46%
gb,11,4,1963,0.20%
gb,12,7,1963,0.36%
gb,13,2,1963,0.10%
gb,14,10,1963,0.51%
gb,15,2,1963,0.10%
gb,16,9,1963,0.46%
gb,17,3,1963,0.15%
gb,18,4,1963,0.20%
gb,19,3,1963,0.15%
gb,20,4,1963,0.20%
gb,21,3,1963,0.15%
gb,22,1,1963,0.05%
gb,23,1,1963,0.05%
gb,24,1,1963,0.05%
gb,25,1,1963,0.05%
gb,26,3,1963,0.15%
gb,27,2,1963,0.10%
gb,28,1,1963,0.05%
gb,29,3,1963,0.15%
gb,30,3,1963,0.15%
gb,31,1,1963,0.05%
gb,32,1,1963,0.05%
gb,34,3,1963,0.15%
gb,36,2,1963,0.10%
gb,37,2,1963,0.10%
gb,38,3,1963,0.15%
gb,40,2,1963,0.10%
gb,41,1,1963,0.05%
gb,44,3,1963,0.15%
gb,45,3,1963,0.15%
gb,0,1532,1963,78.04%
gd,0,4,4,100.00%
ge,0,90,104,86.54%
ge,1,4,104,3.85%
ge,2,3,104,2.88%
ge,3,2,104,1.92%
ge,4,1,104,0.96%
ge,5,1,104,0.96%
ge,7,1,104,0.96%
ge,8,1,104,0.96%
ge,10,1,104,0.96%
gf,2,1,15,6.67%
gf,5,2,15,13.33%
gf,6,1,15,6.67%
gf,0,11,15,73.33%
gg,11,1,3,33.33%
gg,0,2,3,66.67%
gh,3,2,21,9.52%
gh,4,1,21,4.76%
gh,5,1,21,4.76%
gh,10,1,21,4.76%
gh,16,1,21,4.76%
gh,18,1,21,4.76%
gh,0,14,21,66.67%
gi,1,1,2,50.00%
gi,0,1,2,50.00%
gl,12,1,3,33.33%
gl,0,2,3,66.67%
gm,0,2,2,100.00%
gn,1,1,2,50.00%
gn,0,1,2,50.00%
gp,2,2,15,13.33%
gp,7,1,15,6.67%
gp,0,12,15,80.00%
gr,0,690,816,84.56%
gr,1,41,816,5.02%
gr,2,26,816,3.19%
gr,3,7,816,0.86%
gr,4,5,816,0.61%
gr,5,8,816,0.98%
gr,6,3,816,0.37%
gr,7,2,816,0.25%
gr,8,4,816,0.49%
gr,9,2,816,0.25%
gr,10,1,816,0.12%
gr,11,1,816,0.12%
gr,12,2,816,0.25%
gr,13,1,816,0.12%
gr,16,1,816,0.12%
gr,17,2,816,0.25%
gr,18,1,816,0.12%
gr,19,2,816,0.25%
gr,22,3,816,0.37%
gr,25,1,816,0.12%
gr,29,2,816,0.25%
gr,30,1,816,0.12%
gr,32,3,816,0.37%
gr,34,2,816,0.25%
gr,36,1,816,0.12%
gr,42,1,816,0.12%
gr,43,1,816,0.12%
gr,47,1,816,0.12%
gt,1,43,466,9.23%
gt,2,14,466,3.00%
gt,3,10,466,2.15%
gt,4,6,466,1.29%
gt,5,4,466,0.86%
gt,6,2,466,0.43%
gt,7,4,466,0.86%
gt,8,3,466,0.64%
gt,10,1,466,0.21%
gt,12,1,466,0.21%
gt,17,2,466,0.43%
gt,20,2,466,0.43%
gt,21,2,466,0.43%
gt,24,1,466,0.21%
gt,25,1,466,0.21%
gt,28,1,466,0.21%
gt,32,1,466,0.21%
gt,0,366,466,78.54%
gu,1,2,46,4.35%
gu,2,2,46,4.35%
gu,4,1,46,2.17%
gu,8,1,46,2.17%
gu,22,1,46,2.17%
gu,33,1,46,2.17%
gu,35,1,46,2.17%
gu,0,37,46,80.43%
gy,2,1,11,9.09%
gy,3,1,11,9.09%
gy,0,8,11,72.73%
hk,1,273,3397,8.04%
hk,2,124,3397,3.65%
hk,3,70,3397,2.06%
hk,4,49,3397,1.44%
hk,5,43,3397,1.27%
hk,6,32,3397,0.94%
hk,7,16,3397,0.47%
hk,8,21,3397,0.62%
hk,9,23,3397,0.68%
hk,10,20,3397,0.59%
hk,11,14,3397,0.41%
hk,12,6,3397,0.18%
hk,13,10,3397,0.29%
hk,14,10,3397,0.29%
hk,15,4,3397,0.12%
hk,16,5,3397,0.15%
hk,17,4,3397,0.12%
hk,18,8,3397,0.24%
hk,19,5,3397,0.15%
hk,20,6,3397,0.18%
hk,21,2,3397,0.06%
hk,22,5,3397,0.15%
hk,23,2,3397,0.06%
hk,24,2,3397,0.06%
hk,25,3,3397,0.09%
hk,26,3,3397,0.09%
hk,27,2,3397,0.06%
hk,28,4,3397,0.12%
hk,29,1,3397,0.03%
hk,30,2,3397,0.06%
hk,32,2,3397,0.06%
hk,33,4,3397,0.12%
hk,34,3,3397,0.09%
hk,35,1,3397,0.03%
hk,37,1,3397,0.03%
hk,38,1,3397,0.03%
hk,41,1,3397,0.03%
hk,43,1,3397,0.03%
hk,44,1,3397,0.03%
hk,0,2611,3397,76.86%
hn,1,14,187,7.49%
hn,2,6,187,3.21%
hn,3,3,187,1.60%
hn,4,4,187,2.14%
hn,5,2,187,1.07%
hn,6,1,187,0.53%
hn,8,3,187,1.60%
hn,14,1,187,0.53%
hn,17,3,187,1.60%
hn,22,1,187,0.53%
hn,27,1,187,0.53%
hn,0,147,187,78.61%
hr,0,293,337,86.94%
hr,1,17,337,5.04%
hr,2,8,337,2.37%
hr,3,3,337,0.89%
hr,4,3,337,0.89%
hr,5,2,337,0.59%
hr,6,1,337,0.30%
hr,7,1,337,0.30%
hr,9,3,337,0.89%
hr,10,2,337,0.59%
hr,22,1,337,0.30%
hr,23,1,337,0.30%
hr,36,1,337,0.30%
ht,4,1,7,14.29%
ht,24,1,7,14.29%
ht,0,5,7,71.43%
hu,0,572,671,85.25%
hu,1,41,671,6.11%
hu,2,17,671,2.53%
hu,3,6,671,0.89%
hu,4,5,671,0.75%
hu,5,5,671,0.75%
hu,6,5,671,0.75%
hu,7,1,671,0.15%
hu,8,2,671,0.30%
hu,9,4,671,0.60%
hu,12,2,671,0.30%
hu,16,2,671,0.30%
hu,19,1,671,0.15%
hu,22,1,671,0.15%
hu,24,1,671,0.15%
hu,25,1,671,0.15%
hu,26,3,671,0.45%
hu,32,1,671,0.15%
hu,39,1,671,0.15%
id,1,142,1935,7.34%
id,2,62,1935,3.20%
id,3,42,1935,2.17%
id,4,32,1935,1.65%
id,5,16,1935,0.83%
id,6,14,1935,0.72%
id,7,6,1935,0.31%
id,8,13,1935,0.67%
id,9,17,1935,0.88%
id,10,10,1935,0.52%
id,11,10,1935,0.52%
id,12,7,1935,0.36%
id,13,3,1935,0.16%
id,14,3,1935,0.16%
id,15,5,1935,0.26%
id,16,7,1935,0.36%
id,17,4,1935,0.21%
id,19,2,1935,0.10%
id,20,3,1935,0.16%
id,21,4,1935,0.21%
id,22,2,1935,0.10%
id,23,2,1935,0.10%
id,24,3,1935,0.16%
id,25,1,1935,0.05%
id,26,1,1935,0.05%
id,27,1,1935,0.05%
id,28,3,1935,0.16%
id,31,1,1935,0.05%
id,32,1,1935,0.05%
id,35,1,1935,0.05%
id,36,1,1935,0.05%
id,37,2,1935,0.10%
id,38,2,1935,0.10%
id,39,2,1935,0.10%
id,44,1,1935,0.05%
id,45,1,1935,0.05%
id,47,1,1935,0.05%
id,0,1503,1935,77.67%
ie,0,119,138,86.23%
ie,1,10,138,7.25%
ie,2,3,138,2.17%
